Dénomination actuelle;Fondateur(s) / Dirigeant(s) / Point de contact;Contact email;Site internet;Siège social (département);Nombre de salariés;Chiffre d'affaires;Nombre d'utilisateurs;Accompagnement / Incubation;En recherche financement;Cumul levée de fonds;Type d'innovation;Type de produits / services;Sport ciblé;Type d’utilisateurs;Clientèle cible;Résumé;Type de structure;Dernière levée de fonds;Année de création;Siège social (pays);Cas d'usage;Clients / Références;Statut de la solution;Catégorisation;Intégration / Compatibilité;Stade de développement;Niveau d'implantation marché français;Caractéristiques clés / proposition de valeur;Page Linkedin;Modèle économique;Awards
ASI;Jean-Christophe Gauthier / Laurent Gauthier;contact@asi.swiss;https://asi.swiss/;Vaud (Canton);01-oct;;;;;;Data / Analytics, Intelligence artificielle / Machine Learning;Plateforme d'analyse vidéo et de données;Football, Hockey sur glace;B2B;Club professionnel, Staff technique;Solution d'analyse vidéo et statistique basée sur l'IA pour améliorer la performance tactique et individuelle des équipes;Start-up;;2017;Suisse;Analyse tactique et amélioration de la performance sportive;Clubs professionnels de football et de hockey;Actif;Athletes & performance, Data & analytics;;Phase de commercialisation;International;Analyse vidéo et IA pour la performance sportive;https://www.linkedin.com/company/asi-ai-sports-insights;Abonnement (SaaS);
Asso Boost;;contact@asso-boost.fr;https://asso-boost.fr/;Gironde (33);01-oct;;;;;;Data / Analytics, Gestion / Management;Logiciel de gestion et d'aide à la structuration d'associations sportives;Tous sports;B2B;Club amateur / Association;Logiciel complet pour la gestion administrative, financière et sportive des associations sportives (adhésions, événements, communication);Start-up;;2020;France;Simplification de la gestion quotidienne des clubs sportifs amateurs;;;;;;;;;;
ASSUR CONNECT;;contact@assur-connect.com;https://assur-connect.com/;Paris (75);01-oct;;;;;;Innovation sociétale / Gouvernance Responsable;Courtier en assurances sportives (digital);Tous sports;B2B;Club amateur / Association, Fédération, Organisateur événement / compétition, Entreprise, Sportif amateur;Courtier 100% digital qui assure tous les acteurs du sport : sportifs, clubs multisports, bases de loisirs, centres de pratique et organisateurs d'évènements.;Start-up;;2020;France;Assurance et gestion des risques (individuelle ou collective).;Finishers, Race Across France, Climbing District, Tokio Marine;Actif;Gestion / Management;Plateforme web, API;Commercialisation;National;Assurance sportive 100% digitale, personnalisable et simple.;https://www.linkedin.com/company/assur-connect;Commission (courtage) / Abonnement;
ATCLUB (Access World);Eloi Castarède;loicastarede@atclub.app;https://www.atclub.app;Paris (75);01-oct;<1 M€;>100000;SportTech;Oui;0;Intelligence artificielle / Machine Learning;Application mobile de mise en relation de sportifs;Tous sports;B2B, B2C;Sportif amateur, Fan / Supporter;Permettre à chacun de rencontrer des partenaires sportifs partout dans le monde via une application mobile.;Start-up;;2022;France;Mise en relation de partenaires sportifs via géolocalisation.;;Actif;Fan Experience / Fan engagement;iOS, Android;Phase de croissance;National;Moteur de recherche de partenaires sportifs basé sur l'IA et la géolocalisation.;https://www.linkedin.com/company/atclubapp;Abonnement (Freemium);
Athlane Consult;Florence DERONCE (Pôle Conseil et Études);contact@athlane.net;http://www.athlane.net/;Paris (75);01-oct;;;;;;Data / Analytics;Institut d'études et de sondages marketing sportif / Conseil;Tous sports;B2B;Club professionnel, Fédération, Sponsor / Mécène, Entreprise;Institut d'Etudes et de Sondages Marketing-Communication, spécialisé dans le domaine des Loisirs (Sport, Culture, Jeu et Tourisme).;Agence;;2003;France;Conseil stratégique, études de marché, sondages d'opinion, stratégie de communication.;;Actif;Gestion / Management, Partenariat / Sponsoring;;Établi;National;Institut de sondages spécialisé dans les loisirs, l'innovation et l'Expérience Client.;https://www.linkedin.com/company/athlane-consult;Prestation de services / Honoraires;
AtmosGear;Mohamed Soliman dit ''Mido'';N/A (Formulaire de contact);https://atmosgear.com/fr;Seine-Saint-Denis (93) / La Courneuve;01-oct;<1 M€;;Talents 2024 / X-UP 14 (Polytechnique);Oui;1.4 M€;IoT / Trackers / Wearables;Rollers électriques hybrides (Matériel sportif);Roller;B2C, B2B;Fan / Supporter, Sportif amateur;Conception et commercialisation des premiers rollers électriques au monde, avec un système de platines universelles breveté.;Start-up;1.4 M€ (Seed Round - Sept 2024);2022;France;Micro-mobilité sportive et urbaine.;;Actif;Athletes & performance, IoT / Trackers / Wearables;Plateformes UFS / Trinity, Application mobile, Télécommande;Commercialisation / Croissance;National;Premiers rollers électriques hybrides et universels (platines adaptables).;https://www.linkedin.com/company/atmosgear;Vente de produits (E-commerce);
Augmented Sports Technologies;Adrien Frizé, Maxim Karpushin;contact@pinghero.ai;https://www.pinghero.ai/;Essonne (91);01-oct;<1 M€;501–2 500;SportTech;Oui;300 k€ – 1 M€;Intelligence artificielle / Machine Learning;Outil de coaching basé sur l'analyse vidéo automatique (SaaS);Sports de raquette (Tennis de table, Tennis);B2C, B2B;Sportifs amateurs, Clubs;Outil de coaching basé sur l’analyse vidéo automatique de matchs (produit Ping Hero).;Start-up;;2022;France;Coaching à distance, analyse de la performance et de la posture.;;Actif;Athletes & performance, Data & analytics;Application mobile (iOS, Android);Phase de commercialisation;National;Analyse vidéo et retour instantané sur la performance pour les sports de raquette.;https://www.linkedin.com/company/augmented-sports-technologies;Abonnement (SaaS);
Avenue Nautique;;;https://www.avenuenautique.com/;Gironde (33);01-oct;;;;;;Marketplace;Marketplace d'équipements et services nautiques;Sports nautiques (Voile, Motonautisme, Pêche);B2C, B2B;Sportif amateur, Professionnel (Location, Services);Plateforme e-commerce spécialisée dans la vente d'équipements et d'accessoires pour le bateau et les activités nautiques.;Start-up;;2013;France;Achat et vente de matériel nautique, réservation de services.;;Actif;Marketplace, Retail & merchandising;;Établi;National;Vaste catalogue de produits nautiques et services associés.;https://www.linkedin.com/company/avenue-nautique;E-commerce / Commission;
AWorld;Marco Cappellini, Alessandro Maso, Sergio Spaccavento;hello@aworld.com;https://www.aworld.com/;;nov-50;;100000+;Tech for Good;Oui;;Innovation sociale / Inclusion, Innovation sociétale / Gouvernance Responsable;Plateforme/Application de mobilisation pour le développement durable (Objectifs ONU);Tous sports (via les défis);B2B, B2C;Entreprise, Fan / Supporter, Sportif amateur (Employés);Application qui engage les utilisateurs et les entreprises à agir pour le développement durable (partenariat ONU).;Start-up;;2020;Italie;Sensibilisation et engagement RSE via des challenges personnalisés (souvent liés au sport).;United Nations (ONU), Entreprises;Actif;RSE & durabilité;iOS, Android, API d'intégration;Phase de croissance;International;Transformer les actions individuelles en impact positif mesurable, plateforme B2B et B2C.;https://www.linkedin.com/company/aworld_app;Abonnement (B2B);
Azeoo;;contact@azeoo.com;https://azeoo.com/fr/;Loire (42);nov-50;;;;;;Gestion / Management, Intelligence artificielle / Machine Learning;Logiciel de gestion et application de coaching (solution tout-en-un pour salles de sport);Fitness, Musculation, Coaching;B2B, B2C;Fournisseur biens / services (dont salles), Sportif amateur;Logiciel tout-en-un (CRM, facturation, planning, coaching) pour la gestion et l'animation des centres de fitness et de sport.;Éditeur;;2017;France;Gestion de salle de sport, fidélisation client, offre de contenu de coaching digital.;;Actif;Gestion / Management, Athletes & performance;Plateforme SaaS, Application mobile;Établi;National;Logiciel complet adapté aux spécificités des clubs de fitness, avec une forte composante digitale (VOD, coaching).;https://www.linkedin.com/company/azeoo;Abonnement (SaaS);
Baba Sport;Gaspard de Monts et de Savasse;contact@babasport.fr;https://www.babasport.fr/;Paris (75);01-oct;;;;;;Marketplace;Marketplace de réservation d'activités sportives et de loisirs;Tous sports (Activités outdoor, loisirs);B2C;Sportif amateur, Fan / Supporter;Plateforme de réservation d'activités sportives et de loisirs partout en France.;Start-up;;2015;France;Trouver et réserver des activités sportives ou de loisirs (individuel ou groupe).;;Actif;Marketplace;;Établi;National;Large choix d'activités sportives à réserver en quelques clics.;https://www.linkedin.com/company/babasport;Commission sur transaction;
BALL'N CONNECT;Jean-Baptiste Lalanne;contact@ballnconnect.com;http://www.ballnconnect.com/;Gironde (33);01-oct;;;;Non;;IoT / Trackers / Wearables;Capteurs connectés pour l'analyse de la performance au basketball;Basketball;B2B;Club amateur / Association, Staff technique;Capteur connecté pour mesurer la performance des joueurs de basketball lors des entraînements.;Start-up;;2018;France;Analyse des tirs et des mouvements du joueur pendant l'entraînement.;;Actif;Athletes & performance, IoT / Trackers / Wearables;Capteur, Application mobile;Phase de commercialisation;National;Outil d'analyse précis et abordable pour les entraînements de basketball.;https://www.linkedin.com/company/ball-n-connect;Vente de produits, Abonnement (SaaS);
Ballerz;Mehdi Ouchene;contact@ballerz.fr;https://ballerz.fr/;Paris (75);01-oct;;;;;;Innovation sociale / Inclusion;Application communautaire pour le basketball de rue;Basketball (Streetball);B2C;Sportif amateur, Fan / Supporter;Application mobile pour trouver des terrains de streetball, organiser des matchs et créer une communauté de joueurs.;Start-up;;2021;France;Localisation de terrains de basket, organisation de matchs spontanés, gestion de communauté.;;Actif;Fan Experience / Fan engagement, Innovation sociale / Inclusion;Application mobile (iOS, Android);Phase de lancement;National;Faire le lien entre les joueurs de basketball de rue et valoriser la culture streetball.;https://www.linkedin.com/company/ballerz-app;Freemium;
Band of Boats;;;https://www.bandofboats.com/fr/;Loire-Atlantique (44);nov-50;;;;;;Marketplace;Marketplace pour l'achat, la vente et la location de bateaux;Sports nautiques (Voile, Plaisance);B2C, B2B;Sportif amateur, Professionnel (Vente/Location);Plateforme dédiée aux passionnés de navigation pour acheter, vendre ou louer des bateaux neufs ou d'occasion.;Éditeur;;2015;France;Achat/vente/location de bateaux, services pour les plaisanciers.;Bénéteau, Professionnels du nautisme;Actif;Marketplace;Plateforme web;Établi;International;Simplifier la vie des plaisanciers et professionnels du nautisme.;https://www.linkedin.com/company/band-of-boats;Commission / Abonnement (B2B);
Baouw;Gautier Capuçon, Franck Bonzi, Benoît LAVAL;contact@baouw-organic-nutrition.com;https://www.baouw-organic-nutrition.com/;Haute-Savoie (74);nov-50;;;;;;Innovation environnementale;Nutrition sportive biologique (barres, boissons);Course à pied (Trail), Cyclisme, Montagne;B2C;Sportif amateur, Staff technique;Marque de nutrition sportive proposant des produits biologiques, naturels et sans sucres raffinés pour l'effort et la récupération.;PME / Fabricant;;2018;France;Alimentation et hydratation durant l'effort sportif.;;Actif;Athletes & performance, RSE & durabilité;E-commerce, Points de vente physiques;Phase de croissance;National;Nutrition sportive saine, biologique, avec des ingrédients français.;https://www.linkedin.com/company/baouw;Vente de produits;
BeBaller;Benoit Fouchault, Farid Moubayed;benoit.fouchault@beballerapp.com;https://beballerapp.com;Seine-Saint-Denis (93);01-oct;<1 M€;10 001–100 000;SportTech;Oui;170 000 € ;Innovation sociale / Inclusion;Application mobile de mise en relation et réservation de terrains (SaaS);Basketball;B2B, B2C;Sportifs amateurs, Club amateur / Association, Collectivité;Faciliter l’accès à la pratique libre du sport (terrains, joueurs, matchs).;Start-up;;2021;France;Localisation et réservation de terrains de basket, organisation de parties.;;Actif;Fan Experience / Fan engagement, Venue Management / Gestion de salle / Operations;Application mobile iOS/Android, Intégration API (partenaires);Phase de commercialisation;National;Simplification de l'accès au basketball libre via une plateforme de réservation et communauté.;https://www.linkedin.com/company/beballerapp;Freemium, Abonnement B2B (Collectivités);
BEMYSPORT;Delphine, Sébastien Dos Santos & Nicolas (Co-fondateurs);contact@bemysport.fr;https://www.bemysport.fr/;Rhône (69);01-oct;;;Lyon French Tech, Lyon Start Up;Oui;NC (Recherche de 200 K€ à 400 K€ mentionnée);Innovation sociétale / Inclusion;Plateforme de mise en relation pour coaching sportif (B2C & B2B);Multi-sports (Fitness, Pilates, Running, Boxe, Yoga, etc.);B2B, B2C;Entreprise, Sportif amateur;Plateforme web et mobile de coaching sportif à la demande, en individuel ou en petit groupe (B2C) et en entreprise (B2B), visant le bien-être et la performance sur la métropole lyonnaise.;Start-up;;2016;France;Cours de sport sur-mesure en entreprise, coaching individuel pour les particuliers.;LMH, divers partenaires institutionnels lyonnais.;Actif;Athletes & performance, Gestion / Management, RSE & durabilité;Plateforme web et application mobile;Croissance régionale;Régional (Métropole Lyonnaise);Coaching sportif flexible et sur-mesure, réseau de professionnels diplômés (BeeFit), accès facilité au sport et au bien-être.;https://www.linkedin.com/company/bemysport-officiel/;Paiement à la séance et Abonnements B2B/B2C;
BÉNÉGO;Sébastien Boisseau;contact@benego.fr;https://benego.fr/;Charente-Maritime (17);01-oct;;;;Non;;Data / Analytics, Intelligence artificielle / Machine Learning;Plateforme Saas de gestion des revenus pour entités sportives;Multi-sports (Clubs, Ligues, Fédérations);B2B;Club professionnel, Club amateur / Association, Ligue / Comité, Fédération;Solution Saas pour la gestion et l'optimisation des revenus liés aux partenariats, droits marketing et billetterie des entités sportives.;Start-up;;2018;France;"Optimisation des droits marketing et de la billetterie ; gestion des actifs de sponsoring.";Stade Rochelais, Fédérations et clubs sportifs (NC);Actif;Data & analytics, Gestion / Management, Partenariat / Sponsoring, Billetterie / Ticketing / Hospitality;Logiciel Saas, API;Croissance / Commercialisation;National;Outil unique pour centraliser et monétiser les revenus de sponsoring et de billetterie.;https://www.linkedin.com/company/benego-fr/;Abonnement Saas B2B;
